id,name,hasImage,isSquare,httpStatus,contentType,bytes,width,height,issue,url
89645e4521bb7966,101 Music,true,true,200,image/jpeg,18336,200,200,,https://d3vy0pmxxxelni.cloudfront.net/assets/librarylogo/89645e4521bb7966?token=%5Bredacted%5D&width=200&height=200
f32fba09aa44c7ee,101 Music Compilations,true,true,200,image/jpeg,18336,200,200,,https://d3vy0pmxxxelni.cloudfront.net/assets/librarylogo/f32fba09aa44c7ee?token=%5Bredacted%5D&width=200&height=200
b3c4ddca9db054a7,1VU Music,true,true,200,image/jpeg,19451,200,200,,https://d3vy0pmxxxelni.cloudfront.net/assets/librarylogo/b3c4ddca9db054a7?token=%5Bredacted%5D&width=200&height=200
df3de81e5d66af90,411 Artist Series,true,true,200,image/jpeg,12604,200,200,,https://d3vy0pmxxxelni.cloudfront.net/assets/librarylogo/df3de81e5d66af90?token=%5Bredacted%5D&width=200&height=200
a749af2eace70da4,411 Trailers + Sound Design,true,true,200,image/jpeg,12604,200,200,,https://d3vy0pmxxxelni.cloudfront.net/assets/librarylogo/a749af2eace70da4?token=%5Bredacted%5D&width=200&height=200
e966d94c651a84ce,411 Underscore,true,true,200,image/jpeg,12604,200,200,,https://d3vy0pmxxxelni.cloudfront.net/assets/librarylogo/e966d94c651a84ce?token=%5Bredacted%5D&width=200&height=200
65a4e7d72ce69912,5 Alarm Music,true,true,200,image/jpeg,10347,200,200,,https://d3vy0pmxxxelni.cloudfront.net/assets/librarylogo/65a4e7d72ce69912?token=%5Bredacted%5D&width=200&height=200
0f9769346759ee5a,7StyleMusic,true,true,200,image/jpeg,7615,200,200,,https://d3vy0pmxxxelni.cloudfront.net/assets/librarylogo/0f9769346759ee5a?token=%5Bredacted%5D&width=200&height=200
f04b18c7f0dc6435,Aardvark Music,true,true,200,image/jpeg,16739,200,200,,https://d3vy0pmxxxelni.cloudfront.net/assets/librarylogo/f04b18c7f0dc6435?token=%5Bredacted%5D&width=200&height=200
4d4333b4cdd4cd6d,AllMusicGallery,true,true,200,image/jpeg,15040,200,200,,https://d3vy0pmxxxelni.cloudfront.net/assets/librarylogo/4d4333b4cdd4cd6d?token=%5Bredacted%5D&width=200&height=200
